Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 100000 population,Cases - newly reported in last 7 days,Cases - newly reported in last 7 days per 100000 population,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 7 days per 100000 population,Deaths - newly reported in last 24 hours,Transmission Classification
Malta,Europe,23226,5260.19,1694,383.65,233,321,72.7,13,2.94,2,Clusters of cases
Angola,Africa,20923,63.66,283,0.86,41,510,1.55,9,0.03,0,Community transmission
Maldives,South-East Asia,20280,3751.78,1118,206.83,136,63,11.65,3,0.55,1,Clusters of cases
Madagascar,Africa,19831,71.62,0,0,0,297,1.07,0,0,0,Community transmission
Rwanda,Africa,19198,148.22,755,5.83,87,265,2.05,11,0.08,0,Community transmission
French Polynesia,Western Pacific,18452,6568.7,82,29.19,23,140,49.84,1,0.36,0,Sporadic cases
Mayotte,Africa,17600,6451.26,962,352.62,0,110,40.32,12,4.4,0,Community transmission
Mauritania,Africa,17252,371.04,94,2.02,17,442,9.51,3,0.06,1,Community transmission
Eswatini,Africa,17103,1474.19,206,17.76,17,652,56.2,3,0.26,0,Community transmission
French Guiana,Americas,16627,5566.79,98,32.81,0,85,28.46,2,0.67,0,Community transmission
Guinea,Africa,16154,123.01,574,4.37,73,91,0.69,4,0.03,0,Community transmission
Syrian Arab Republic,Eastern Mediterranean,15753,90.01,410,2.34,57,1045,5.97,37,0.21,6,Community transmission
Cabo Verde,Africa,15558,2798.27,397,71.4,75,150,26.98,5,0.9,2,Community transmission
Gabon,Africa,15254,685.35,1020,45.83,405,88,3.95,8,0.36,1,Community transmission
Tajikistan,Europe,13714,143.79,0,0,0,91,0.95,0,0,0,Pending
Réunion,Africa,13125,1465.97,709,79.19,0,59,6.59,7,0.78,0,Community transmission
Haiti,Americas,12536,109.94,184,1.61,5,250,2.19,3,0.03,0,Community transmission
Belize,Americas,12320,3098.37,56,14.08,7,314,78.97,0,0,0,Community transmission
Burkina Faso,Africa,12071,57.75,184,0.88,24,143,0.68,1,0,0,Community transmission
Andorra,Europe,10948,14169.42,173,223.9,40,112,144.96,2,2.59,2,Community transmission
Lesotho,Africa,10521,491.12,54,2.52,26,305,14.24,14,0.65,10,Community transmission
Guadeloupe,Americas,9968,2491.23,358,89.47,0,164,40.99,1,0.25,0,Community transmission
Congo,Africa,9179,166.34,359,6.51,359,131,2.37,3,0.05,3,Community transmission
Suriname,Americas,8939,1523.78,59,10.06,6,173,29.49,3,0.51,0,Clusters of cases
Guyana,Americas,8626,1096.69,174,22.12,31,197,25.05,7,0.89,0,Clusters of cases
Bahamas,Americas,8573,2180.07,77,19.58,9,181,46.03,2,0.51,1,Clusters of cases
Mali,Africa,8446,41.71,114,0.56,26,357,1.76,9,0.04,2,Community transmission
South Sudan,Africa,8414,75.17,1316,11.76,270,100,0.89,13,0.12,5,Community transmission
Aruba,Americas,7938,7434.95,203,190.14,30,74,69.31,3,2.81,0,Community transmission
Somalia,Eastern Mediterranean,7727,48.62,1178,7.41,209,260,1.64,42,0.26,11,Community transmission
Trinidad and Tobago,Americas,7717,551.42,31,2.22,1,139,9.93,0,0,0,Community transmission
Guam,Western Pacific,7536,4465.12,16,9.48,3,131,77.62,1,0.59,0,Clusters of cases
Togo,Africa,7188,86.82,640,7.73,102,85,1.03,3,0.04,0,Community transmission
Martinique,Americas,6746,1797.66,100,26.65,0,45,11.99,0,0,0,Community transmission
Equatorial Guinea,Africa,6210,442.63,358,25.52,115,93,6.63,2,0.14,1,Community transmission
Djibouti,Eastern Mediterranean,6102,617.61,50,5.06,13,63,6.38,0,0,0,Sporadic cases
Benin,Africa,6071,50.08,437,3.6,0,75,0.62,5,0.04,0,Community transmission
Iceland,Europe,6058,1775.27,9,2.64,3,29,8.5,0,0,0,Community transmission
Nicaragua,Americas,5176,78.13,34,0.51,0,174,2.63,1,0.02,0,Community transmission
Central African Republic,Africa,4997,103.46,0,0,0,63,1.3,0,0,0,Community transmission
Niger,Africa,4740,19.58,0,0,0,172,0.71,0,0,0,Community transmission
Curaçao,Americas,4736,2886.17,40,24.38,5,22,13.41,0,0,0,Community transmission
Gambia,Africa,4735,195.93,95,3.93,23,151,6.25,4,0.17,1,Community transmission
Gibraltar,Europe,4243,12593.87,9,26.71,4,93,276.04,2,5.94,0,Clusters of cases
Chad,Africa,4056,24.69,152,0.93,57,140,0.85,4,0.02,0,Community transmission
Sierra Leone,Africa,3900,48.89,20,0.25,11,79,0.99,0,0,0,Community transmission
San Marino,Europe,3829,11282.34,244,718.96,38,75,220.99,2,5.89,1,Community transmission
Saint Lucia,Americas,3779,2057.98,637,346.9,234,37,20.15,5,2.72,1,Community transmission
Comoros,Africa,3580,411.68,41,4.71,2,144,16.56,0,0,0,Community transmission
Guinea-Bissau,Africa,3282,166.77,111,5.64,11,48,2.44,0,0,0,Community transmission
Jersey,Europe,3218,2957.72,5,4.6,1,69,63.42,1,0.92,0,Community transmission
Barbados,Americas,3140,1092.65,288,100.22,25,36,12.53,5,1.74,0,Community transmission
Mongolia,Western Pacific,3032,92.49,277,8.45,32,2,0.06,0,0,0,Clusters of cases
Eritrea,Africa,2892,81.55,103,2.9,8,7,0.2,0,0,0,Community transmission
Seychelles,Africa,2849,2896.89,287,291.82,231,11,11.18,0,0,0,Community transmission
United States Virgin Islands,Americas,2695,2580.8,82,78.53,25,25,23.94,0,0,0,Community transmission
Liechtenstein,Europe,2657,6966.99,17,44.58,0,52,136.35,0,0,0,Sporadic cases
Viet Nam,Western Pacific,2482,2.55,70,0.07,7,35,0.04,0,0,0,Clusters of cases
Yemen,Eastern Mediterranean,2367,7.94,142,0.48,21,644,2.16,19,0.06,3,Community transmission
Burundi,Africa,2268,19.07,162,1.36,28,3,0.03,0,0,0,Community transmission
Turks and Caicos Islands,Americas,2115,5462.58,64,165.3,1,14,36.16,0,0,0,Clusters of cases
Sint Maarten,Americas,2061,4806.21,14,32.65,1,27,62.96,0,0,0,Community transmission
New Zealand,Western Pacific,2033,42.16,21,0.44,6,26,0.54,0,0,0,Clusters of cases
Liberia,Africa,2017,39.88,15,0.3,3,85,1.68,0,0,0,Community transmission
Monaco,Europe,1981,5047.91,65,165.63,16,26,66.25,3,7.64,1,Sporadic cases
Sao Tome and Principe,Africa,1881,858.28,209,95.36,41,30,13.69,3,1.37,0,Community transmission
Saint Vincent and the Grenadines,Americas,1645,1482.78,126,113.57,17,8,7.21,2,1.8,0,Community transmission
Saint Martin,Americas,1554,4019.76,35,90.54,0,12,31.04,0,0,0,Community transmission
Papua New Guinea,Western Pacific,1365,15.26,226,2.53,0,14,0.16,3,0.03,0,Community transmission
Cambodia,Western Pacific,909,5.44,212,1.27,31,0,0,0,0,0,Sporadic cases
Bhutan,South-East Asia,867,112.36,0,0,0,1,0.13,0,0,0,Sporadic cases
Guernsey,Europe,821,1299.13,4,6.33,0,14,22.15,0,0,0,Community transmission
Antigua and Barbuda,Americas,769,785.26,133,135.81,0,18,18.38,4,4.08,1,Clusters of cases
Other,Other,745,,0,,0,13,,0,,0,Not applicable
Bermuda,Americas,713,1144.96,10,16.06,0,12,19.27,0,0,0,Sporadic cases
Faroe Islands,Europe,658,1346.57,0,0,0,1,2.05,0,0,0,Sporadic cases
Mauritius,Africa,619,48.67,16,1.26,0,10,0.79,0,0,0,Sporadic cases
Saint Barthélemy,Americas,612,6191.2,79,799.19,0,0,0,0,0,0,Clusters of cases
United Republic of Tanzania,Africa,509,0.85,0,0,0,21,0.04,0,0,0,Pending
Isle of Man,Europe,494,580.96,32,37.63,8,25,29.4,0,0,0,No cases
Cayman Islands,Americas,447,680.16,16,24.35,0,2,3.04,0,0,0,Sporadic cases
Bonaire,Americas,424,2027.25,21,100.41,5,4,19.13,0,0,0,Community transmission
Brunei Darussalam,Western Pacific,187,42.74,2,0.46,0,3,0.69,0,0,0,Sporadic cases
British Virgin Islands,Americas,153,506,0,0,0,1,3.31,0,0,0,Clusters of cases
Grenada,Americas,151,134.19,3,2.67,3,1,0.89,0,0,0,Sporadic cases
Dominica,Americas,144,200.03,3,4.17,0,0,0,0,0,0,Clusters of cases
Northern Mariana Islands (Commonwealth of the),Western Pacific,144,250.19,1,1.74,0,2,3.47,0,0,0,Pending
Timor-Leste,South-East Asia,113,8.57,3,0.23,0,0,0,0,0,0,Clusters of cases
Fiji,Western Pacific,63,7.03,6,0.67,4,2,0.22,0,0,0,Sporadic cases
New Caledonia,Western Pacific,58,20.32,3,1.05,0,0,0,0,0,0,Sporadic cases
Falkland Islands (Malvinas),Americas,51,1464.25,0,0,0,0,0,0,0,0,No cases
Lao People's Democratic Republic,Western Pacific,45,0.62,0,0,0,0,0,0,0,0,Sporadic cases
Saint Kitts and Nevis,Americas,41,77.08,0,0,0,0,0,0,0,0,Sporadic cases
Greenland,Europe,31,54.6,1,1.76,1,0,0,0,0,0,No cases
Holy See,Europe,26,3213.84,0,0,0,0,0,0,0,0,Sporadic cases
Saint Pierre and Miquelon,Americas,24,414.15,0,0,0,0,0,0,0,0,No cases
Montserrat,Americas,20,400.08,0,0,0,1,20,0,0,0,Sporadic cases
Sint Eustatius,Americas,20,637.15,0,0,0,0,0,0,0,0,No cases
Anguilla,Americas,18,119.98,0,0,0,0,0,0,0,0,Sporadic cases
Solomon Islands,Western Pacific,18,2.62,0,0,0,0,0,0,0,0,No cases
Wallis and Futuna,Western Pacific,9,80.03,0,0,0,0,0,0,0,0,Sporadic cases
Saba,Americas,6,310.4,0,0,0,0,0,0,0,0,No cases
Marshall Islands,Western Pacific,4,6.76,0,0,0,0,0,0,0,0,No cases
Samoa,Western Pacific,4,2.02,0,0,0,0,0,0,0,0,No cases
Vanuatu,Western Pacific,1,0.33,0,0,0,0,0,0,0,0,No cases
American Samoa,Western Pacific,0,0,0,0,0,0,0,0,0,0,No cases
Cook Islands,Western Pacific,0,0,0,0,0,0,0,0,0,0,No cases
Democratic People's Republic of Korea,South-East Asia,0,0,0,0,0,0,0,0,0,0,No cases
Kiribati,Western Pacific,0,0,0,0,0,0,0,0,0,0,No cases
Micronesia (Federated States of),Western Pacific,0,0,0,0,0,0,0,0,0,0,No cases
Nauru,Western Pacific,0,0,0,0,0,0,0,0,0,0,No cases
Niue,Western Pacific,0,0,0,0,0,0,0,0,0,0,No cases
Palau,Western Pacific,0,0,0,0,0,0,0,0,0,0,No cases
Pitcairn Islands,Western Pacific,0,0,0,0,0,0,0,0,0,0,No cases
Saint Helena,Africa,0,0,0,0,0,0,0,0,0,0,No cases
Tokelau,Western Pacific,0,0,0,0,0,0,0,0,0,0,No cases
Tonga,Western Pacific,0,0,0,0,0,0,0,0,0,0,No cases
Turkmenistan,Europe,0,0,0,0,0,0,0,0,0,0,No cases
Tuvalu,Western Pacific,0,0,0,0,0,0,0,0,0,0,No cases
